Month-Year,1st_Revision,2nd_Revision,3rd_Revision
Apr-99,109,-22,87
May-99,-16,33,17
Jun-99,5,8,13
Jul-99,28,35,63
Aug-99,-21,26,5
Sep-99,49,62,111
Oct-99,-47,21,-26
Nov-99,-12,35,23
Dec-99,1,-7,-6
Jan-00,-3,10,7
Feb-00,-36,20,-16
Mar-00,42,69,111
Apr-00,74,-4,70
May-00,-60,0,-60
Jun-00,19,27,46
Jul-00,57,11,68
Aug-00,14,12,26
Sep-00,-57,0,-57
Oct-00,-60,-11,-71
Nov-00,-35,-6,-41
Dec-00,-86,17,-69
Jan-01,-44,65,21
Feb-01,5,-4,1
Mar-01,33,112,145
Apr-01,41,17,58
May-01,27,33,60
Jun-01,21,-6,15
Jul-01,55,5,60
Aug-01,29,30,59
Sep-01,-14,48,34
Oct-01,-53,20,-33
Nov-01,-40,16,-24
Dec-01,-6,24,18
Jan-02,-37,17,-20
Feb-02,-68,-2,-70
Mar-02,-79,16,-63
Apr-02,-37,-27,-64
May-02,-17,-2,-19
Jun-02,30,-32,-2
Jul-02,61,-13,48
Aug-02,68,16,84
Sep-02,30,-71,-41
Oct-02,91,-17,74
Nov-02,-48,7,-41
Dec-02,-55,9,-46
Jan-03,42,18,60
Feb-03,-49,4,-45
Mar-03,-16,NA,NA
Apr-03,NA,NA,NA
May-03,-53,-6,-59
Jun-03,-42,-11,-53
Jul-03,-5,-8,-13
Aug-03,52,76,128
Sep-03,68,-26,42
Oct-03,11,-37,-26
Nov-03,-14,40,26
Dec-03,15,-8,7
Jan-04,-15,62,47
Feb-04,25,37,62
Mar-04,29,16,45
Apr-04,58,-22,36
May-04,-13,-27,-40
Jun-04,-34,18,-16
Jul-04,41,12,53
Aug-04,-16,70,54
Sep-04,43,-20,23
Oct-04,-34,9,-25
Nov-04,25,-5,20
Dec-04,-24,22,-2
Jan-05,-14,-8,-22
Feb-05,-19,57,38
Mar-05,36,-24,12
Apr-05,0,18,18
May-05,26,22,48
Jun-05,20,9,29
Jul-05,35,35,70
Aug-05,42,-63,-21
Sep-05,27,25,52
Oct-05,-12,-19,-31
Nov-05,90,49,139
Dec-05,32,5,37
Jan-06,-23,-16,-39
Feb-06,-18,-25,-43
Mar-06,-11,-25,-36
Apr-06,-12,-14,-26
May-06,17,8,25
Jun-06,3,10,13
Jul-06,8,2,10
Aug-06,60,42,102
Sep-06,97,55,152
Oct-06,-13,7,-6
Nov-06,22,42,64
Dec-06,39,20,59
Jan-07,35,16,51
Feb-07,16,-23,-7
Mar-07,-3,-2,-5
Apr-07,-8,42,34
May-07,33,-2,31
Jun-07,-6,-57,-63
Jul-07,-24,25,1
Aug-07,93,4,97
Sep-07,-14,-52,-66
Oct-07,4,-11,-7
Nov-07,21,-55,-34
Dec-07,64,-41,23
Jan-08,-5,-54,-59
Feb-08,-13,-7,-20
Mar-08,-1,-7,-8
Apr-08,-8,-39,-47
May-08,-13,15,2
Jun-08,11,-49,-38
Jul-08,-9,-7,-16
Aug-08,11,-54,-43
Sep-08,-125,-119,-244
Oct-08,-80,-103,-183
Nov-08,-51,-13,-64
Dec-08,-53,-104,-157
Jan-09,-57,-86,-143
Feb-09,0,-30,-30
Mar-09,-36,47,11
Apr-09,35,-15,20
May-09,23,19,42
Jun-09,24,-20,4
Jul-09,-29,-28,-57
Aug-09,15,47,62
Sep-09,44,80,124
Oct-09,79,-16,63
Nov-09,15,60,75
Dec-09,-65,41,-24
Jan-10,-6,40,34
Feb-10,22,53,75
Mar-10,68,-22,46
Apr-10,0,23,23
May-10,2,-1,1
Jun-10,-96,46,-50
Jul-10,77,-12,65
Aug-10,-3,56,53
Sep-10,54,17,71
Oct-10,21,38,59
Nov-10,32,22,54
Dec-10,18,31,49
Jan-11,27,5,32
Feb-11,2,41,43
Mar-11,5,-27,-22
Apr-11,-12,-15,-27
May-11,-29,28,-1
Jun-11,28,-26,2
Jul-11,-32,42,10
Aug-11,57,47,104
Sep-11,55,52,107
Oct-11,20,12,32
Nov-11,-20,57,37
Dec-11,3,20,23
Jan-12,41,-9,32
Feb-12,13,19,32
Mar-12,34,-11,23
Apr-12,-38,-9,-47
May-12,8,10,18
Jun-12,-16,-19,-35
Jul-12,-22,40,18
Aug-12,46,50,96
Sep-12,34,-16,18
Oct-12,-33,-1,-34
Nov-12,15,86,101
Dec-12,41,23,64
Jan-13,-38,29,-9
Feb-13,32,64,96
Mar-13,50,4,54
Apr-13,-16,50,34
May-13,20,-19,1
Jun-13,-7,-16,-23
Jul-13,-58,-15,-73
Aug-13,24,45,69
Sep-13,15,12,27
Oct-13,-4,0,-4
Nov-13,38,33,71
Dec-13,1,9,10
Jan-14,16,15,31
Feb-14,22,25,47
Mar-14,11,0,11
Apr-14,-6,22,16
May-14,7,5,12
Jun-14,10,-31,-21
Jul-14,3,31,34
Aug-14,38,23,61
Sep-14,8,15,23
Oct-14,29,18,47
Nov-14,32,70,102
Dec-14,77,0,77
Jan-15,-18,-38,-56
Feb-15,-31,2,-29
Mar-15,-41,34,-7
Apr-15,-2,-34,-36
May-15,-26,6,-20
Jun-15,8,14,22
Jul-15,30,-22,8
Aug-15,-37,17,-20
Sep-15,-5,8,3
Oct-15,27,9,36
Nov-15,41,28,69
Dec-15,-30,9,-21
Jan-16,21,-4,17
Feb-16,3,-12,-9
Mar-16,-7,-22,-29
Apr-16,-37,21,-16
May-16,-27,13,-14
Jun-16,5,-21,-16
Jul-16,20,-23,-3
Aug-16,16,9,25
Sep-16,35,17,52
Oct-16,-19,-7,-26
Nov-16,26,-40,-14
Dec-16,1,-2,-1
Jan-17,11,-22,-11
Feb-17,-16,13,-3
Mar-17,-19,-29,-48
Apr-17,-37,33,-4
May-17,14,-7,7
Jun-17,9,-21,-12
Jul-17,-20,-51,-71
Aug-17,13,39,52
Sep-17,51,20,71
Oct-17,-17,-33,-50
Nov-17,24,-36,-12
Dec-17,12,15,27
Jan-18,39,-63,-24
Feb-18,13,-2,11
Mar-18,32,20,52
Apr-18,-5,16,11
May-18,21,24,45
Jun-18,35,-40,-5
Jul-18,-10,18,8
Aug-18,69,16,85
Sep-18,-16,1,-15
Oct-18,-13,37,24
Nov-18,21,20,41
Dec-18,-90,5,-85
Jan-19,7,1,8
Feb-19,13,23,36
Mar-19,-7,-36,-43
Apr-19,-39,-8,-47
May-19,-3,-10,-13
Jun-19,-31,-15,-46
Jul-19,-5,7,2
Aug-19,38,51,89
Sep-19,44,13,57
Oct-19,28,-4,24
Nov-19,-10,5,-5
Dec-19,2,37,39
Jan-20,48,-59,-11
Feb-20,2,-24,-22
Mar-20,-180,-492,-672
Apr-20,-150,-100,-250
May-20,190,26,216
Jun-20,-9,-10,-19
Jul-20,-29,27,-2
Aug-20,118,4,122
Sep-20,11,39,50
Oct-20,-28,44,16
Nov-20,91,-72,19
Dec-20,-87,-79,-166
Jan-21,117,67,184
Feb-21,89,68,157
Mar-21,-146,15,-131
Apr-21,12,-9,3
May-21,24,31,55
Jun-21,88,24,112
Jul-21,110,38,148
Aug-21,131,117,248
Sep-21,118,67,185
Oct-21,15,102,117
Nov-21,39,398,437
Dec-21,311,78,389
Jan-22,14,23,37
Feb-22,72,-36,36
Mar-22,-3,-30,-33
Apr-22,8,-68,-60
May-22,-6,2,-4
